Open time,Open,High,Low,Close
2025-01-30 01:07:30+00:00,104037.04,104064.86,104037.03,104056.8
2025-01-30 01:07:35+00:00,104056.8,104056.8,104051.66,104051.67
2025-01-30 01:07:40+00:00,104051.66,104074.35,104051.66,104074.35
2025-01-30 01:07:45+00:00,104074.35,104075.24,104051.67,104051.67
2025-01-30 01:07:50+00:00,104051.67,104051.67,104051.66,104051.67
2025-01-30 01:07:55+00:00,104051.67,104051.67,104051.66,104051.66
2025-01-30 01:08:00+00:00,104051.66,104051.67,104051.66,104051.66
2025-01-30 01:08:05+00:00,104051.67,104051.67,104046.8,104046.81
2025-01-30 01:08:10+00:00,104046.8,104046.81,104020.0,104020.0
2025-01-30 01:08:15+00:00,104020.0,104035.78,104015.38,104035.78
2025-01-30 01:08:20+00:00,104035.78,104040.0,104035.78,104040.0
2025-01-30 01:08:25+00:00,104040.0,104040.0,104039.99,104039.99
2025-01-30 01:08:30+00:00,104039.99,104040.0,104039.99,104040.0
2025-01-30 01:08:35+00:00,104040.0,104051.67,104039.99,104051.67
2025-01-30 01:08:40+00:00,104051.66,104075.99,104051.66,104075.99
2025-01-30 01:08:45+00:00,104076.0,104082.11,104076.0,104082.1
2025-01-30 01:08:50+00:00,104082.1,104082.11,104077.94,104077.94
2025-01-30 01:08:55+00:00,104077.94,104077.95,104073.67,104077.94
2025-01-30 01:09:00+00:00,104077.93,104091.29,104077.93,104091.29
2025-01-30 01:09:05+00:00,104091.29,104091.29,104091.28,104091.28
2025-01-30 01:09:10+00:00,104091.28,104091.29,104091.28,104091.29
2025-01-30 01:09:15+00:00,104091.29,104119.24,104091.28,104119.23
2025-01-30 01:09:20+00:00,104119.23,104119.24,104119.23,104119.24
2025-01-30 01:09:25+00:00,104119.23,104119.24,104119.23,104119.24
2025-01-30 01:09:30+00:00,104119.24,104119.24,104119.21,104119.21
2025-01-30 01:09:35+00:00,104119.22,104119.22,104119.21,104119.22
2025-01-30 01:09:40+00:00,104119.22,104119.22,104119.21,104119.21
2025-01-30 01:09:45+00:00,104119.22,104119.22,104101.6,104101.61
2025-01-30 01:09:50+00:00,104101.6,104101.61,104094.7,104094.7
2025-01-30 01:09:55+00:00,104094.71,104094.71,104094.7,104094.71
2025-01-30 01:10:00+00:00,104094.71,104097.15,104094.71,104097.14
2025-01-30 01:10:05+00:00,104097.14,104097.15,104097.14,104097.14
2025-01-30 01:10:10+00:00,104097.14,104097.15,104097.14,104097.14
2025-01-30 01:10:15+00:00,104097.14,104097.15,104097.14,104097.14
2025-01-30 01:10:20+00:00,104097.15,104097.15,104075.48,104075.49
2025-01-30 01:10:25+00:00,104075.48,104075.49,104040.41,104040.41
2025-01-30 01:10:30+00:00,104040.4,104056.0,104040.4,104056.0
2025-01-30 01:10:35+00:00,104055.99,104056.0,104051.54,104051.54
2025-01-30 01:10:40+00:00,104051.53,104051.53,104026.29,104026.3
2025-01-30 01:10:45+00:00,104026.3,104026.3,104024.93,104024.93
2025-01-30 01:10:50+00:00,104024.93,104024.94,104024.93,104024.93
2025-01-30 01:10:55+00:00,104024.93,104024.94,104022.28,104022.28
2025-01-30 01:11:00+00:00,104022.28,104026.29,104022.28,104026.28
2025-01-30 01:11:05+00:00,104026.28,104026.28,104026.28,104026.28
2025-01-30 01:11:10+00:00,104026.28,104026.29,104000.0,104000.0
2025-01-30 01:11:15+00:00,104000.0,104000.01,103986.4,103986.41
2025-01-30 01:11:20+00:00,103986.41,103986.41,103986.4,103986.4
2025-01-30 01:11:25+00:00,103986.4,103986.41,103986.4,103986.4
2025-01-30 01:11:30+00:00,103986.4,103994.44,103986.4,103994.44
